GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMRZE001,AMRZE002,AMRZE003,AMRZE004,AMRZE005,AMRZE006,AMRZE007,AMRZE008,AMRZE009,AMRZE010,AMRZE011,AMRZE012,AMRZE013,AMRZE014,AMRZE015,AMRZE016,AMRZE017,AMRZE018,AMRZE019,AMRZE020,AMRZE021,AMRZE022,AMRZE023,AMRZE024,AMRZE025,AMR7E001,AMR7E002,AMR7E003,AMR7E004,AMR7E005,AMR7E006,AMR7E007,AMR7E008,AMR7E009,AMR7E010,AMR7E011,AMR7E012,AMR7E013,AMR7E014,AMR7E015,AMR7E016,AMR7E017,AMR8E001,AMUDE001,AMWBE001,NAME_M,AMRZM001,AMRZM002,AMRZM003,AMRZM004,AMRZM005,AMRZM006,AMRZM007,AMRZM008,AMRZM009,AMRZM010,AMRZM011,AMRZM012,AMRZM013,AMRZM014,AMRZM015,AMRZM016,AMRZM017,AMRZM018,AMRZM019,AMRZM020,AMRZM021,AMRZM022,AMRZM023,AMRZM024,AMRZM025,AMR7M001,AMR7M002,AMR7M003,AMR7M004,AMR7M005,AMR7M006,AMR7M007,AMR7M008,AMR7M009,AMR7M010,AMR7M011,AMR7M012,AMR7M013,AMR7M014,AMR7M015,AMR7M016,AMR7M017,AMR8M001,AMUDM001,AMWBM001
"G0100010","2016-2020","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",37860,275,0,0,35,0,17,25,3,124,117,313,718,1250,728,668,9663,2217,2194,5469,3323,6320,3399,504,498,21559,1331,982,1528,1134,1114,726,903,1062,765,1442,2218,2893,2248,1288,1027,898,57982,23697,161200,"Autauga County, Alabama",148,161,29,29,36,29,29,49,4,72,73,100,233,330,157,209,694,373,404,547,505,607,492,174,194,366,290,272,320,318,290,208,238,287,216,261,385,500,454,249,281,255,4839,68,6652
"G0100030","2016-2020","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",155563,1451,0,63,0,123,70,198,78,638,275,938,1976,3127,2483,3403,34521,7751,10511,23964,14357,31444,13331,2845,2016,84047,4352,4011,2930,3506,3935,4450,3789,4314,3655,6148,7970,11536,7621,5375,4893,5562,61756,116747,211600,"Baldwin County, Alabama",247,282,29,70,29,138,53,178,65,268,140,242,553,712,480,627,1981,891,1079,1445,1223,1846,1357,418,506,1143,870,629,472,536,612,761,583,697,630,715,844,1042,775,619,603,731,2268,180,5853
"G0100050","2016-2020","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",17797,384,0,0,0,82,124,7,24,69,233,464,621,971,1029,489,5171,1190,1018,2469,1385,1296,540,118,113,9322,1365,706,972,742,362,515,469,413,279,699,824,680,635,214,206,241,34990,12057,86500,"Barbour County, Alabama",51,130,23,23,23,77,64,14,19,49,86,115,132,191,182,132,438,205,186,324,206,216,136,56,67,338,263,138,186,146,114,137,141,122,71,142,229,148,175,67,71,109,2909,119,9981
"G0100070","2016-2020","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",15987,323,0,18,0,0,13,0,34,143,119,328,287,667,756,368,5879,1327,768,2056,1087,1183,481,109,41,7259,799,512,382,382,377,283,217,322,277,628,778,1129,600,212,204,157,51721,9237,96400,"Bibb County, Alabama",277,148,23,35,23,23,19,23,44,95,69,172,106,200,249,179,647,291,233,359,258,385,189,86,55,299,235,210,138,135,130,137,108,129,113,221,216,277,186,98,111,93,6237,82,13625
"G0100090","2016-2020","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",39814,805,14,0,5,19,50,343,94,781,341,498,723,1338,1048,779,10582,3393,3415,5090,5220,3540,1382,222,132,21205,2145,968,885,1437,937,1445,961,1122,987,1794,1996,2283,1540,1091,1034,580,48922,24404,135300,"Blount County, Alabama",160,244,23,29,9,20,33,206,60,223,149,161,151,280,210,194,659,596,495,603,578,485,263,90,75,430,432,206,212,352,237,313,260,271,236,293,373,320,306,247,215,163,2269,87,5396
"G0100110","2016-2020","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",6784,81,0,0,0,0,45,0,38,26,115,98,74,278,484,461,2498,311,267,932,379,413,152,104,28,3429,625,336,138,271,190,174,80,111,84,441,155,258,388,38,45,95,33866,4591,74800,"Bullock County, Alabama",233,56,19,19,19,19,48,19,48,27,85,81,45,119,195,208,414,114,138,227,166,129,85,69,35,195,164,169,75,124,82,118,79,81,54,177,79,96,145,35,67,60,10094,60,11769
"G0100130","2016-2020","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",13820,305,20,0,9,4,0,0,0,56,37,65,341,352,389,308,5583,842,555,1779,970,1396,651,139,19,6649,525,519,488,364,432,244,369,396,340,424,622,622,565,343,222,174,44850,10119,98100,"Butler County, Alabama",149,117,32,19,18,7,19,19,19,39,30,37,129,143,138,113,404,173,143,246,166,204,163,71,13,282,143,158,139,124,126,76,104,96,96,112,152,119,127,99,110,63,2891,57,8921
"G0100150","2016-2020","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",78967,1026,0,9,0,0,95,95,143,418,620,1423,1836,2654,2137,1331,21801,5402,5418,13589,6080,8296,4618,1093,883,44572,3546,2702,2391,2459,2740,2505,2245,1888,1741,4182,4362,5445,3857,1879,1480,1150,50128,53722,121600,"Calhoun County, Alabama",155,296,29,14,29,29,65,79,99,161,180,404,401,476,422,260,1146,580,615,938,699,713,492,226,228,642,449,328,456,357,457,437,411,316,337,606,529,589,501,303,318,258,1964,190,4670
"G0100170","2016-2020","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",23771,486,0,0,14,0,21,9,59,156,255,334,656,913,777,460,7150,1679,1311,3855,2203,2491,740,173,29,13582,819,885,1101,792,1107,1000,693,529,514,1256,1222,1834,814,582,220,214,43875,16985,103800,"Chambers County, Alabama",91,162,26,26,23,26,27,18,54,74,126,129,218,214,184,156,503,232,238,435,375,355,193,90,28,418,200,243,190,185,267,267,184,168,186,261,240,303,197,258,95,122,3861,70,7094
"G0100190","2016-2020","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",19143,255,0,0,10,9,0,13,8,238,177,487,533,490,894,174,6036,1459,982,2804,2098,1202,743,399,132,10836,707,561,1010,527,880,731,729,538,253,896,1101,1145,817,209,375,357,42509,16631,138500,"Cherokee County, Alabama",120,101,23,23,17,16,23,22,12,107,81,170,198,197,234,79,500,333,223,433,327,252,190,191,67,476,199,143,246,188,333,194,199,134,86,207,240,215,189,103,119,154,3824,68,11363
"G0100210","2016-2020","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",30153,781,0,11,21,5,23,0,37,282,148,253,868,1019,1210,827,10885,2185,1753,3311,2427,2471,1349,181,106,17140,1243,857,1101,966,1379,714,890,742,410,1752,1737,2350,1340,538,720,401,52141,19897,104500,"Chilton County, Alabama",214,259,26,19,24,10,30,26,39,172,100,118,269,278,356,334,709,437,310,419,424,432,350,84,81,358,294,194,324,220,336,226,287,249,154,323,319,343,312,170,202,179,4263,60,9213
"G0100230","2016-2020","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",9263,130,0,0,0,20,0,23,13,47,25,306,298,216,393,132,2831,515,707,1287,1068,761,374,44,73,5330,474,467,398,458,439,244,419,228,175,241,343,608,480,74,236,46,36634,7410,75900,"Choctaw County, Alabama",,64,19,19,19,33,19,27,16,45,23,121,103,73,132,63,347,145,158,216,195,208,150,31,69,255,130,105,156,130,139,82,156,87,73,75,103,176,156,36,110,40,2639,42,4592
"G0100250","2016-2020","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",16703,258,11,0,0,34,0,33,51,27,74,280,491,600,677,368,6132,810,886,2232,1436,1401,752,79,71,9323,1439,620,558,588,747,444,379,310,428,529,931,777,520,299,493,261,37345,12813,106600,"Clarke County, Alabama",27,152,16,23,23,47,23,39,59,23,46,122,162,165,222,134,602,226,211,411,274,282,209,42,42,439,255,179,154,205,237,144,147,148,120,141,202,163,155,130,186,105,5617,63,12657
"G0100270","2016-2020","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",9371,74,3,0,3,49,28,0,96,81,142,210,205,501,241,123,3212,539,487,1292,981,709,300,95,0,5153,402,438,282,173,478,319,374,287,140,478,461,463,269,348,99,142,42678,6832,116100,"Clay County, Alabama",155,53,7,19,6,63,43,19,90,66,72,104,101,157,96,84,371,171,158,249,233,164,132,57,19,269,128,121,116,75,142,111,123,138,92,187,170,151,111,136,66,75,3933,33,10248
"G0100290","2016-2020","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",10538,147,0,0,7,25,46,11,33,36,120,284,423,283,297,165,3358,686,607,1684,638,1121,425,89,53,5835,649,223,435,478,253,280,361,163,240,540,602,714,403,191,213,90,46320,6859,118700,"Cleburne County, Alabama",40,79,19,19,9,26,53,17,37,40,63,97,121,105,117,72,359,164,122,262,141,225,128,78,47,194,151,93,119,148,97,112,129,63,95,189,133,144,104,81,72,48,4995,44,9029
"G0100310","2016-2020","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",35936,396,2,0,31,25,24,10,64,179,308,504,867,895,1154,699,8149,1727,2633,5877,4584,4993,2235,327,253,19951,1455,1049,1081,832,786,838,1217,873,822,1560,2175,2550,1742,1225,1130,616,56799,23313,153700,"Coffee County, Alabama",133,90,3,29,46,35,22,14,39,97,128,150,217,162,238,183,562,215,328,428,432,454,270,114,101,457,239,205,202,199,184,156,230,194,176,230,275,303,236,196,230,136,3287,95,4585
"G0100330","2016-2020","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",39077,469,37,0,17,0,23,6,50,227,343,441,961,1179,1145,692,12062,2390,2198,6819,3230,4263,1882,421,222,21797,1927,1302,1424,1331,928,1382,1015,1016,924,1756,2492,2763,1432,1033,757,315,47962,26727,125400,"Colbert County, Alabama",178,194,41,29,28,29,25,11,35,110,149,129,292,337,290,179,737,366,322,617,503,600,324,161,166,514,321,269,280,231,223,312,272,227,251,316,390,381,283,250,244,105,3470,59,6594
"G0100350","2016-2020","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",8826,97,40,27,0,0,0,0,12,8,61,75,109,254,450,195,3791,334,587,977,588,727,320,31,143,4585,416,432,243,235,370,567,279,230,248,268,354,458,309,10,72,94,35444,7203,83900,"Conecuh County, Alabama",203,66,75,35,19,19,19,19,25,10,55,40,77,94,207,105,456,129,243,242,234,192,150,36,92,297,150,135,93,103,148,205,108,117,107,105,142,147,126,10,70,67,3137,27,5267
"G0100370","2016-2020","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",8281,52,0,0,0,13,0,3,0,7,30,168,229,256,376,260,2930,552,586,1284,578,659,234,48,16,4016,145,323,246,236,232,404,329,145,325,322,280,409,357,32,163,68,43571,6615,89200,"Coosa County, Alabama",128,43,19,19,19,24,19,7,19,15,29,90,94,100,134,116,393,162,154,273,230,192,91,54,21,203,72,119,123,121,104,162,119,85,149,104,105,109,143,27,96,50,8028,48,7698
"G0100390","2016-2020","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",26366,344,0,0,2,30,20,107,116,129,182,378,753,678,767,358,8335,1488,2029,3807,2726,2455,1258,255,149,14995,1444,1305,753,921,958,996,763,669,568,1223,1321,1756,807,544,638,329,42566,19073,99600,"Covington County, Alabama",87,116,26,26,6,27,18,51,71,60,77,97,218,143,159,108,532,216,277,491,292,269,223,107,72,400,235,237,144,158,170,215,169,147,153,234,200,265,142,139,172,124,2958,133,4536
"G0100410","2016-2020","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",9684,225,0,0,0,0,0,9,45,83,160,145,187,494,424,279,3151,546,431,884,829,1271,439,55,27,5011,550,381,289,294,340,174,240,399,218,274,441,567,362,194,151,137,42611,6834,84400,"Crenshaw County, Alabama",122,82,19,19,19,19,19,10,45,47,81,68,66,152,141,89,312,121,93,152,184,189,94,41,20,209,126,91,72,80,113,55,64,142,76,86,118,123,86,72,67,62,2556,56,5005
