GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMRIE001,AMRIE002,AMRIE003,AMRIE004,AMRIE005,AMRIE006,AMRIE007,AMRIE008,AMRIE009,AMRIE010,AMRIE011,AMRIE012,AMRIE013,AMRIE014,AMRIE015,AMRIE016,AMRIE017,NAME_M,AMRIM001,AMRIM002,AMRIM003,AMRIM004,AMRIM005,AMRIM006,AMRIM007,AMRIM008,AMRIM009,AMRIM010,AMRIM011,AMRIM012,AMRIM013,AMRIM014,AMRIM015,AMRIM016,AMRIM017
"G0100010","2016-2020","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",21559,11281,4542,6739,782,232,550,6178,3346,1256,1475,101,3318,2319,352,427,220,"Autauga County, Alabama",366,552,359,471,227,145,174,494,452,252,262,57,438,306,168,204,112
"G0100030","2016-2020","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",84047,46277,15204,31073,3366,940,2426,21425,13835,2633,4123,834,12979,10577,684,1279,439,"Baldwin County, Alabama",1143,1550,942,1244,613,298,519,1196,965,500,661,281,1008,966,222,338,168
"G0100050","2016-2020","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",9322,3613,1156,2457,436,196,240,3672,1876,947,824,25,1601,1180,82,300,39,"Barbour County, Alabama",338,305,243,234,157,102,132,247,198,209,143,22,229,206,59,130,32
"G0100070","2016-2020","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",7259,3597,1225,2372,144,64,80,2050,856,672,517,5,1468,1026,118,306,18,"Bibb County, Alabama",299,382,217,268,70,49,59,303,201,238,169,8,213,188,84,123,32
"G0100090","2016-2020","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",21205,12053,4519,7534,677,334,343,4903,2787,1059,814,243,3572,2699,254,466,153,"Blount County, Alabama",430,675,407,496,260,187,156,536,364,241,206,118,431,371,105,124,79
"G0100110","2016-2020","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",3429,1187,344,843,23,0,23,1471,695,348,401,27,748,520,151,71,6,"Bullock County, Alabama",195,244,149,158,26,19,26,241,202,162,129,43,176,162,118,59,12
"G0100130","2016-2020","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",6649,3297,921,2376,210,93,117,2395,1356,475,511,53,747,567,25,135,20,"Butler County, Alabama",282,249,173,228,98,69,66,234,182,149,115,38,139,114,31,85,15
"G0100150","2016-2020","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",44572,20680,7097,13583,2928,1029,1899,13475,7266,2488,3183,538,7489,5640,484,920,445,"Calhoun County, Alabama",642,734,604,582,474,269,431,614,577,335,437,178,649,536,195,219,159
"G0100170","2016-2020","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",13582,5961,1783,4178,1014,368,646,4058,2119,670,1228,41,2549,1619,225,612,93,"Chambers County, Alabama",418,472,277,313,270,134,216,400,302,182,248,35,379,278,161,194,53
"G0100190","2016-2020","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",10836,6096,1990,4106,488,105,383,2221,1377,252,542,50,2031,1607,133,240,51,"Cherokee County, Alabama",476,520,316,318,176,76,146,274,237,106,153,42,325,316,76,108,54
