="Testing Intent to Treat Effects - 1 Year"
="",="(1)",="(2)",="(3)",="(4)"
="Mailed Test Strip",="0.240***",="0.240***",="0.242***",=""
="",="(0.013)",="(0.013)",="(0.013)",=""
="Baseline Testing",="",="",="0.375***",=""
="",="",="",="(0.023)",=""
="Missing Baseline Testing",="",="",="-0.092**",=""
="",="",="",="(0.039)",=""
="Round 1",="",="",="",="0.188***"
="",="",="",="",="(0.013)"
="Round 2",="",="",="",="0.199***"
="",="",="",="",="(0.013)"
="Mailed Test Strip (Round 1)",="",="",="",="0.239***"
="",="",="",="",="(0.019)"
="Mailed Test Strip (Round 2)",="",="",="",="0.241***"
="",="",="",="",="(0.019)"
="Constant",="0.194***",="0.194***",="0.162***",=""
="",="(0.009)",="(0.009)",="(0.009)",=""
="Observations",="4541",="4541",="4541",="4541"
="County FE",="No",="Yes",="Yes",="No"
="MHT Corrected p-value",="0.0003",="0.0003",="0.0003",=""
="MHT Round 1",="",="",="",="0.0003"
="MHT Round 2",="",="",="",="0.0003"
