="Testing Intent to Treat Effects - G2C"
="",="(1)",="(2)",="(3)",="(4)"
="Mailed Test Strip",="0.031***",="0.031***",="0.032***",=""
="",="(0.009)",="(0.009)",="(0.009)",=""
="Last Water Test in Last Year",="",="",="0.266***",=""
="",="",="",="(0.016)",=""
="missing_test_1year0",="",="",="-0.074***",=""
="",="",="",="(0.028)",=""
="round1",="",="",="",="0.101***"
="",="",="",="",="(0.009)"
="round2",="",="",="",="0.099***"
="",="",="",="",="(0.009)"
="treatr1",="",="",="",="0.043***"
="",="",="",="",="(0.013)"
="treatr2",="",="",="",="0.019"
="",="",="",="",="(0.013)"
="Constant",="0.100***",="0.100***",="0.078***",=""
="",="(0.007)",="(0.007)",="(0.007)",=""
="Observations",="4541",="4541",="4541",="4541"
="County FE",="No",="Yes",="Yes",="No"
="MHT Corrected p-value",="0.0023",="0.0020",="0.0013",=""
="MHT Round 1",="",="",="",="0.0013"
="MHT Round 2",="",="",="",="0.1420"
