="Willingness to Pay"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="descr",="",="",="",="",=""
="Chose Strip",="1.047***",="1.603***",="2.605***",="1.560***",="1.919***"
="",="(0.097)",="(0.143)",="(0.427)",="(0.320)",="(0.300)"
="Bid",="0.050***",="0.096***",="0.105***",="0.101***",="0.096***"
="",="(0.014)",="(0.017)",="(0.018)",="(0.017)",="(0.017)"
="strip",="",="",="",="",=""
="Mailed Test Strip",="",="-0.600***",="-0.639***",="-0.603***",="-0.589***"
="",="",="(0.111)",="(0.123)",="(0.112)",="(0.113)"
="Observations",="4232",="4232",="3508",="4132",="4148"
="WTP",="21.10",="13.76",="13.37",="13.40",="13.97"
="WTP Control",="",="16.64",="16.19",="16.17",="16.82"
="WTP Treated",="",="10.41",="10.11",="10.20",="10.67"
="H0: WTP=5",="0.00",="0.00",="0.00",="0.00",="0.00"
="Demographic Interactions",="No",="No",="Yes",="No",="No"
="Well Characteristic Interactions",="No",="No",="No",="Yes",="No"
="Perception Interactions",="No",="No",="No",="No",="Yes"
