="Testing Intent to Treat Effects - 1 Year"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="Mailed Test Strip",="0.237***",="0.239***",="0.236***",="0.241***",="0.250***",="0.233***",="0.218***",="0.216***",="0.184***",="0.192***"
="",="(0.020)",="(0.014)",="(0.014)",="(0.014)",="(0.016)",="(0.014)",="(0.016)",="(0.015)",="(0.030)",="(0.030)"
="Treat x Well Age>20 Years",="0.005",="",="",="",="",="",="",="",="0.016",="0.017"
="",="(0.021)",="",="",="",="",="",="",="",="(0.026)",="(0.026)"
="Treat x Unsure Well Age",="",="0.012",="",="",="",="",="",="",="0.035",="0.035"
="",="",="(0.035)",="",="",="",="",="",="",="(0.047)",="(0.047)"
="Treat x Well Depth <50 Feet",="",="",="0.033",="",="",="",="",="",="0.059",="0.035"
="",="",="",="(0.033)",="",="",="",="",="",="(0.036)",="(0.037)"
="Treat x Unsure Well Depth",="",="",="",="-0.013",="",="",="",="",="-0.034",="-0.037"
="",="",="",="",="(0.027)",="",="",="",="",="(0.032)",="(0.032)"
="Treat x Retiree in Household",="",="",="",="",="-0.021",="",="",="",="-0.005",="-0.011"
="",="",="",="",="",="(0.019)",="",="",="",="(0.023)",="(0.023)"
="Treat x Children in Household",="",="",="",="",="",="0.037",="",="",="0.029",="0.030"
="",="",="",="",="",="",="(0.026)",="",="",="(0.030)",="(0.030)"
="Treat x Bachelor's or Higher",="",="",="",="",="",="",="0.047**",="",="0.046**",="0.040*"
="",="",="",="",="",="",="",="(0.020)",="",="(0.023)",="(0.023)"
="Treat x Income >$200K",="",="",="",="",="",="",="",="0.043*",="0.027",="0.024"
="",="",="",="",="",="",="",="",="(0.024)",="(0.026)",="(0.026)"
="Constant",="0.194***",="0.194***",="0.194***",="0.194***",="0.194***",="0.194***",="0.193***",="0.197***",="0.195***",="0.195***"
="",="(0.009)",="(0.009)",="(0.009)",="(0.009)",="(0.009)",="(0.009)",="(0.009)",="(0.010)",="(0.010)",="(0.010)"
="Observations",="4517",="4517",="4442",="4442",="4541",="4500",="4239",="3903",="3711",="3711"
="County FE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes"
