="Testing Intent to Treat Effects - GTC"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="Mailed Test Strip",="0.034**",="0.031***",="0.030***",="0.036***",="0.038***",="0.023**",="0.020*",="0.033***",="0.018",="0.025"
="",="(0.014)",="(0.010)",="(0.010)",="(0.010)",="(0.012)",="(0.010)",="(0.012)",="(0.011)",="(0.022)",="(0.022)"
="Treat x Well Age>20 Years",="-0.004",="",="",="",="",="",="",="",="-0.001",="-0.003"
="",="(0.015)",="",="",="",="",="",="",="",="(0.019)",="(0.019)"
="Treat x Unsure Well Age",="",="0.002",="",="",="",="",="",="",="0.010",="0.008"
="",="",="(0.025)",="",="",="",="",="",="",="(0.034)",="(0.034)"
="Treat x Well Depth <50 Feet",="",="",="0.027",="",="",="",="",="",="0.033",="0.017"
="",="",="",="(0.023)",="",="",="",="",="",="(0.026)",="(0.027)"
="Treat x Unsure Well Depth",="",="",="",="-0.024",="",="",="",="",="-0.040*",="-0.042*"
="",="",="",="",="(0.019)",="",="",="",="",="(0.023)",="(0.023)"
="Treat x Retiree in Household",="",="",="",="",="-0.014",="",="",="",="-0.001",="-0.004"
="",="",="",="",="",="(0.014)",="",="",="",="(0.017)",="(0.017)"
="Treat x Children in Household",="",="",="",="",="",="0.036*",="",="",="0.034",="0.036*"
="",="",="",="",="",="",="(0.018)",="",="",="(0.021)",="(0.021)"
="Treat x Bachelor's or Higher",="",="",="",="",="",="",="0.033**",="",="0.039**",="0.037**"
="",="",="",="",="",="",="",="(0.014)",="",="(0.016)",="(0.017)"
="Treat x Income >$200K",="",="",="",="",="",="",="",="-0.004",="-0.017",="-0.022"
="",="",="",="",="",="",="",="",="(0.018)",="(0.019)",="(0.019)"
="Constant",="0.100***",="0.100***",="0.100***",="0.100***",="0.100***",="0.101***",="0.099***",="0.102***",="0.100***",="0.100***"
="",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"
="Observations",="4517",="4517",="4442",="4442",="4541",="4500",="4239",="3903",="3711",="3711"
="County FE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes"
