="Testing Intent to Treat Effects - 1 Year"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="GTC Test (Own)",="0.500***",="",="",="",=""
="",="(0.027)",="",="",="",=""
="GTC Test (0.5 miles)",="",="0.156***",="",="",=""
="",="",="(0.019)",="",="",=""
="GTC Test (<1 mile)",="",="",="0.075***",="",=""
="",="",="",="(0.019)",="",=""
="GTC Test (<2 miles)",="",="",="",="0.014",=""
="",="",="",="",="(0.029)",=""
="Mailed Test Strip (Treated)",="0.261***",="0.243***",="0.238***",="0.205***",="0.239***"
="",="(0.013)",="(0.016)",="(0.022)",="(0.041)",="(0.013)"
="GTC Test (Own) + Treated",="-0.158***",="",="",="",=""
="",="(0.042)",="",="",="",=""
="GTC Test (0.5 miles) + Treated",="",="-0.008",="",="",=""
="",="",="(0.028)",="",="",=""
="GTC Test (<1 mile) + Treated",="",="",="0.004",="",=""
="",="",="",="(0.028)",="",=""
="GTC Test (<2 miles) + Treated",="",="",="",="0.041",=""
="",="",="",="",="(0.043)",=""
="GTC Test (Own) + Treated + Hi Test",="0.032",="",="",="",=""
="",="(0.078)",="",="",="",=""
="GTC Test (0.5 miles) + Treated + Hi Test",="",="-0.005",="",="",=""
="",="",="(0.046)",="",="",=""
="GTC Test (<1 mile) + Treated + Hi Test",="",="",="-0.015",="",=""
="",="",="",="(0.039)",="",=""
="GTC Test (<2 miles) + Treated + Hi Test",="",="",="",="-0.034",=""
="",="",="",="",="(0.040)",=""
="GTC Test (<5 miles) + Treated + Hi Test",="",="",="",="",="0.048"
="",="",="",="",="",="(0.086)"
="Constant",="0.136***",="0.137***",="0.147***",="0.181***",="0.194***"
="",="(0.009)",="(0.011)",="(0.015)",="(0.027)",="(0.009)"
="Observations",="4541",="4541",="4541",="4541",="4541"
