="Testing Intent to Treat Effects - GTC Testing"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="GTC Test (Own)",="0.410***",="",="",="",=""
="",="(0.019)",="",="",="",=""
="GTC Test (0.5 miles)",="",="0.127***",="",="",=""
="",="",="(0.013)",="",="",=""
="GTC Test (<1 mile)",="",="",="0.065***",="",=""
="",="",="",="(0.013)",="",=""
="GTC Test (<2 miles)",="",="",="",="0.005",=""
="",="",="",="",="(0.021)",=""
="Mailed Test Strip (Treated)",="0.028***",="0.025**",="0.019",="0.004",="0.031***"
="",="(0.009)",="(0.012)",="(0.015)",="(0.029)",="(0.009)"
="GTC Test (Own) + Treated",="0.066**",="",="",="",=""
="",="(0.029)",="",="",="",=""
="GTC Test (0.5 miles) + Treated",="",="0.013",="",="",=""
="",="",="(0.020)",="",="",=""
="GTC Test (<1 mile) + Treated",="",="",="0.019",="",=""
="",="",="",="(0.020)",="",=""
="GTC Test (<2 miles) + Treated",="",="",="",="0.030",=""
="",="",="",="",="(0.031)",=""
="GTC Test (Own) + Treated + Hi Test",="-0.014",="",="",="",=""
="",="(0.053)",="",="",="",=""
="GTC Test (0.5 miles) + Treated + Hi Test",="",="0.034",="",="",=""
="",="",="(0.032)",="",="",=""
="GTC Test (<1 mile) + Treated + Hi Test",="",="",="-0.001",="",=""
="",="",="",="(0.027)",="",=""
="GTC Test (<2 miles) + Treated + Hi Test",="",="",="",="-0.001",=""
="",="",="",="",="(0.028)",=""
="GTC Test (<5 miles) + Treated + Hi Test",="",="",="",="",="-0.020"
="",="",="",="",="",="(0.062)"
="Constant",="0.053***",="0.054***",="0.059***",="0.096***",="0.100***"
="",="(0.006)",="(0.008)",="(0.011)",="(0.019)",="(0.007)"
="Observations",="4541",="4541",="4541",="4541",="4541"
