="Willingness to Pay"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="descr",="",="",="",="",=""
="Chose Strip",="1.047***",="1.603***",="2.605***",="1.560***",="1.919***"
="",="(0.097)",="(0.143)",="(0.427)",="(0.320)",="(0.300)"
="Bid",="0.050***",="0.096***",="0.105***",="0.101***",="0.096***"
="",="(0.014)",="(0.017)",="(0.018)",="(0.017)",="(0.017)"
="strip",="",="",="",="",=""
="Mailed Test Strip",="",="-0.600***",="-0.639***",="-0.603***",="-0.589***"
="",="",="(0.111)",="(0.123)",="(0.112)",="(0.113)"
="Bachelor's Degree",="",="",="0.062",="",=""
="",="",="",="(0.119)",="",=""
="Master's Degree",="",="",="-0.002",="",=""
="",="",="",="(0.215)",="",=""
="Income <$25K",="",="",="-1.273***",="",=""
="",="",="",="(0.413)",="",=""
="Income $25K-$50K",="",="",="-1.099***",="",=""
="",="",="",="(0.386)",="",=""
="Income $50K-$100K",="",="",="-0.797**",="",=""
="",="",="",="(0.379)",="",=""
="Income $100K-$200K",="",="",="-0.679*",="",=""
="",="",="",="(0.391)",="",=""
="HH Size",="",="",="0.003",="",=""
="",="",="",="(0.064)",="",=""
="Child/Infant in HH",="",="",="-0.316",="",=""
="",="",="",="(0.212)",="",=""
="Retiree in HH",="",="",="0.018",="",=""
="",="",="",="(0.120)",="",=""
="Well Age 6-10 Years",="",="",="",="0.257",=""
="",="",="",="",="(0.340)",=""
="Well Age 11-20 Years",="",="",="",="0.253",=""
="",="",="",="",="(0.285)",=""
="Well Age >20 Years",="",="",="",="0.218",=""
="",="",="",="",="(0.259)",=""
="Well Age Unsure",="",="",="",="0.093",=""
="",="",="",="",="(0.312)",=""
="Well Depth 51-150 Feet",="",="",="",="0.056",=""
="",="",="",="",="(0.171)",=""
="Well Depth >150 Feet",="",="",="",="-0.231",=""
="",="",="",="",="(0.157)",=""
="Well Depth Unsure",="",="",="",="-0.254",=""
="",="",="",="",="(0.194)",=""
="Nitrate Concerns: Any",="",="",="",="",="0.330**"
="",="",="",="",="",="(0.158)"
="Nitrate Concerns: None",="",="",="",="",="-0.409**"
="",="",="",="",="",="(0.178)"
="Nitrate Concerns: Unsure",="",="",="",="",="0.178"
="",="",="",="",="",="(0.165)"
="Rate Water: Good/Great",="",="",="",="",="-0.418*"
="",="",="",="",="",="(0.236)"
="Rate Water: Neutral",="",="",="",="",="-0.728***"
="",="",="",="",="",="(0.269)"
="Rate Water: Poor",="",="",="",="",="-0.574**"
="",="",="",="",="",="(0.280)"
="Observations",="4232",="4232",="3508",="4132",="4148"
