="",="A",="",="",="",=""
="",="All",="Control",="Treatment",="Difference",="Census"
="Owns Home",="0.944",="0.939",="0.949",="0.055",="999.000"
="Income <$25K",="0.081",="0.089",="0.074",="0.020",="0.172"
="Income $25K-$50K",="0.260",="0.246",="0.275",="0.006",="0.227"
="Income $50K-$100K",="0.423",="0.427",="0.418",="0.447",="0.352"
="Income $100K-$200K",="0.197",="0.196",="0.199",="0.793",="0.206"
="Income >$200K",="0.038",="0.042",="0.035",="0.118",="0.042"
="High School or Lower",="0.600",="0.600",="0.600",="0.996",="0.639"
="Associates or Higher",="0.400",="0.400",="0.400",="0.996",="0.361"
="HH Size",="2.498",="2.504",="2.491",="0.708",="2.377"
="Children/Infants",="0.211",="0.217",="0.206",="0.240",="999.000"
="Retirees",="0.457",="0.455",="0.460",="0.646",="999.000"
="Well Age (0-5)",="0.032",="0.031",="0.034",="0.383",="999.000"
="Well Age (6-10)",="0.045",="0.047",="0.043",="0.378",="999.000"
="Well Age (11-20)",="0.144",="0.143",="0.145",="0.794",="999.000"
="Well Age (ov20)",="0.675",="0.677",="0.673",="0.712",="999.000"
="Wall Age - Unsure",="0.103",="0.102",="0.105",="0.717",="999.000"
="Well Dep (0-50)",="0.091",="0.088",="0.094",="0.413",="999.000"
="Well Dep (51-150)",="0.319",="0.321",="0.318",="0.785",="999.000"
="Well Dep (ov150)",="0.404",="0.403",="0.406",="0.794",="999.000"
="Well Dep Unsure",="0.185",="0.188",="0.183",="0.542",="999.000"
="F-Test",="1.031",="999.000",="999.000",="999.000",="999.000"
