="",="A",="",="",=""
="",="All",="Control",="Treatment",="Difference"
="Own Nitrate",="4.65",="4.63",="4.67",="0.91"
="Own Nitrate (Viol)",="0.16",="0.15",="0.17",="0.42"
="Avg Nitrate <0.5 mi",="4.29",="4.46",="4.12",="0.09"
="Avg Nitrate <0.5 mi (Viol)",="0.13",="0.13",="0.13",="0.45"
="Avg Nitrate <1 mi",="4.39",="4.49",="4.27",="0.14"
="Avg Nitrate <1 mi (Viol)",="0.12",="0.12",="0.12",="0.73"
="Avg Nitrate <2 mi",="4.36",="4.44",="4.27",="0.14"
="Avg Nitrate <2 mi (Viol)",="0.09",="0.10",="0.09",="0.45"
="Avg Nitrate <5 mi",="4.42",="4.46",="4.37",="0.29"
="Avg Nitrate <5 mi (Viol)",="0.06",="0.06",="0.05",="0.05"
="Avg Nitrate <10 mi",="4.42",="4.47",="4.37",="0.16"
="Avg Nitrate <10 mi (Viol)",="0.02",="0.02",="0.01",="0.03"
="Own Nitrate",="3.77",="3.91",="3.60",="0.52"
="Own Nitrate (Viol)",="0.15",="0.14",="0.15",="0.65"
="Avg Nitrate <0.5 mi",="3.78",="3.80",="3.76",="0.87"
="Avg Nitrate <0.5 mi (Viol)",="0.13",="0.12",="0.14",="0.37"
="Avg Nitrate <1 mi",="3.65",="3.71",="3.58",="0.46"
="Avg Nitrate <1 mi (Viol)",="0.11",="0.11",="0.11",="0.89"
="Avg Nitrate <2 mi",="3.58",="3.63",="3.54",="0.45"
="Avg Nitrate <2 mi (Viol)",="0.07",="0.07",="0.07",="0.80"
="Avg Nitrate <5 mi",="3.67",="3.75",="3.58",="0.04"
="Avg Nitrate <5 mi (Viol)",="0.02",="0.02",="0.01",="0.00"
="Avg Nitrate <10 mi",="3.58",="3.64",="3.52",="0.05"
="Avg Nitrate <10 mi (Viol)",="0.00",="0.00",="0.00",="0.01"
